"4018dd1b-5b9a-4117-b1bb-4006857a20f9","2018-07-10T14:12:05.856Z","Sony Stock Hits 10-Year High, Propelling It Back to No. 1 Electronics Maker in Japan","https://www.billboard.com/biz/articles/news/legal-and-management/8464736/sony-stock-hits-10-year-high-propelling-it-back-to-no","Investment Topics#Adj_Up#Country#Noun_Up#Industry Sector#City#Verbs_Love#Company#Corporate Topics#Verbs_Down#Region#Verbs_U",,"positive"
"a4a50f78-2008-4406-9d12-d7405bc28a1a","2018-07-04T23:16:50.609Z","Everybody Has a Price, Even Sony Pictures","https://www.washingtonpost.com/business/everybody-has-a-price-even-sony-pictures/2018/07/04/99bb3046-7fde-11e8-a63f-7b5d2aba7ac5_story.html?noredirect=on","Investment Topics#Adj_Up#Country#Noun_Up#Industry Sector#Noun_Down#Adj_Good#Company#Corporate Topics#Region#Verbs_Up#Adj_Dow",,"positive"
"0bd82401-7ac6-487d-a77d-46e165a12284","2018-07-03T13:43:22.227Z","Sony: Undervalued Relative To Peers","https://seekingalpha.com/article/4185247-sony-undervalued-relative-peers?source=feed_all_articles","Investment Topics#Adj_Up#Country#Noun_Up#Industry Sector#Verbs_Love#Verbs_Down#Verbs_Up#Verbs_Satisfy#Adj_Good#Company#Corporate Topics#Region#Adj_Dow",,"positive"
"2649d00e-7ccf-4dc0-ba6c-9783375fb467","2018-07-03T08:18:18.37Z","Sony raises PlayStation Vue price by USD 5 due to rising costs","https://www.telecompaper.com/news/sony-raises-playstation-vue-price-by-usd-5-due-to-rising-costs--1251072","Investment Topics#Country#Adj_Up#Industry Sector#Verbs_Satisfy#Verbs_Love#Adj_Good#Company#State#Corporate Topics#Region#Tech Topics#Verbs_U",,"negative"
"99c40055-f839-4a41-aa0c-79b66c7a6a76","2018-07-02T01:40:29.95Z","Sony UBP-X800 4K UHD Blu-ray player","https://www.techradar.com/reviews/sony-ubp-x800-4k-uhd-blu-ray-player","Investment Topics#Adj_Up#Country#Noun_Up#Industry Sector#Verbs_Love#Verbs_Up#Verbs_Satisfy#Adj_Good#Company#Corporate Topics#Region#Verbs_Hate#Adj_Dow",,"positive"
"6436111a-3903-43ab-bc96-67285ba9f8c7","2018-06-29T14:52:47.854Z","Google Could Be Preparing to Take On Sony, Microsoft in Console Wars","https://www.extremetech.com/gaming/272555-google-could-be-preparing-to-take-on-sony-microsoft-in-console-wars?source=gaming","Investment Topics#Adj_Up#Country#Industry Sector#Noun_Down#Verbs_Love#Adj_Good#Company#Corporate Topics#Region#Tech Topics#Verbs_U",,"positive"
"3fa7ed1c-7954-4c4a-84ba-e8b391b08aeb","2018-06-21T16:22:57.098Z","'Minecraft' Makes It Clear: Sony And PlayStation's Crossplay Problem Isn't Going Away","https://www.forbes.com/sites/davidthier/2018/06/21/minecraft-makes-it-clear-sony-and-playstations-crossplay-problem-isnt-going-away/","Investment Topics#Country#Noun_Up#Industry Sector#Noun_Down#Verbs_Love#Adj_Good#Company#Region#Tech Topics#Verbs_U",,"positive"
"93ae9708-cf33-4459-90df-d603062d835e","2018-06-15T01:31:32.827Z","Sony Music Entertainment to Start Paying Indie Artists & Labels Spotify Sale Proceeds as Early as August","https://www.billboard.com/biz/articles/news/record-labels/8461119/sony-music-entertainment-canada-to-start-paying-indie","Investment Topics#Adj_Up#Country#Noun_Up#Industry Sector#Verbs_Satisfy#Adj_Good#Company#Corporate Topics#Region#Verbs_U",,"positive"
"ec06d360-ed6b-4654-8b7e-b9d1966c5b61","2018-06-13T10:17:20.601Z","Sony Xperia Home Android launcher retired","https://www.digit.in/apps/sony-xperia-home-android-launcher-retired-41601.html","Investment Topics#Adj_Up#Noun_Up#Industry Sector#Noun_Down#Verbs_Love#Adj_Good#Company#Verbs_Down#Tech Topics#Verbs_Up#Adj_Dow",,"negative"
"88b6c3e8-c526-498d-8f21-d55616bf55e1","2018-06-05T23:38:09.246Z","Sony Has Announced A New RX100 VI Cyber-Shot With 24-200mm Zoom","https://www.ephotozine.com/article/sony-has-announced-a-new-rx100-vi-cyber-shot-with-24-200mm-zoom--32352?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Ephotozine+%28ePHOTOzine%29","Investment Topics#Adj_Up#Industry Sector#Verbs_Satisfy#Verbs_Love#Adj_Good#Company#Corporate Topics#Region#Verbs_Up#Adj_Dow",,"positive"
"ed8870a6-ad4f-4f05-932c-e16710cef64e","2018-06-03T00:00:00Z","Asian markets gain, with Toyota and Sony boosting Nikkei","https://www.marketwatch.com/story/asian-markets-rally-with-toyota-and-sony-boosting-nikkei-2018-06-03","Investment Topics#Adj_Up#Country#Noun_Up#Industry Sector#City#Practice Areas#Verbs_Down#Verbs_Up#Typically Excluded Topics#Noun_Down#Adj_Good#Company#Corporate Topics#Region#Adj_Down#Energy Topic",,"positive"
"f474111b-a628-4e45-b12e-4fa1e8d017fd","2018-05-30T04:23:43.85Z","Sony Pictures Selects Getty Images as Exclusive Global Distribution Partner for Stock...","http://press.gettyimages.com/sony-pictures-stock-footage-selects-getty-images-as-exclusive-global-distribution-partner/","Investment Topics#Adj_Up#Country#Industry Sector#Adj_Good#Company#Corporate Topics#Region#Verbs_U",,"positive"
"04081e86-ff50-4a3e-9dbc-1a7ba96e1af1","2018-05-23T15:39:05.72Z","Sony wants to be the number one camera brand by 2021","https://www.techradar.com/news/sony-wants-to-be-the-number-one-camera-brand-by-2021","Investment Topics#Adj_Up#Noun_Up#Industry Sector#Verbs_Love#Adj_Good#Company#Verbs_U",,"positive"
